,number,value,datetime_start,datetime_complete,duration,params_lr,params_nl2,params_num_ct,params_scheduler_gamma,params_sigma2,params_weight_decay,state
79,79,,2021-02-08 21:09:21.102965,2021-02-08 21:09:21.748979,0 days 00:00:00.646014,0.00786146781837967,9,0,0.9886594828132093,20,0.0803395515731869,FAIL
80,80,,2021-02-08 21:09:21.749378,2021-02-08 21:09:22.376401,0 days 00:00:00.627023,0.005098991554989988,9,0,0.9896938297560278,20,0.3846893330167176,FAIL
81,81,,2021-02-08 21:09:22.376995,2021-02-08 21:09:23.042871,0 days 00:00:00.665876,0.006870027210116224,9,0,0.9876894547124667,20,0.37679309185452853,FAIL
82,82,,2021-02-08 21:09:23.043470,2021-02-08 21:09:23.701975,0 days 00:00:00.658505,0.006354135914011315,9,0,0.9823507055324887,20,0.3869947311389664,FAIL
83,83,,2021-02-08 21:09:23.702556,2021-02-08 21:09:24.528404,0 days 00:00:00.825848,0.00718333331732153,9,0,0.9896893871623663,20,0.33536708758625616,FAIL
84,84,,2021-02-08 21:09:24.528803,2021-02-08 21:09:25.171779,0 days 00:00:00.642976,0.009363468912269293,9,0,0.9852285492359603,20,0.07986827276634803,FAIL
85,85,,2021-02-08 21:09:25.172165,2021-02-08 21:09:25.817736,0 days 00:00:00.645571,0.006517250310179842,9,0,0.9868837514497553,20,0.37611437842895445,FAIL
86,86,,2021-02-08 21:09:25.818129,2021-02-08 21:09:26.465516,0 days 00:00:00.647387,0.00495381466437172,9,0,0.9789949545561893,20,0.4906631420218047,FAIL
87,87,,2021-02-08 21:09:26.465909,2021-02-08 21:09:27.105695,0 days 00:00:00.639786,0.004855762502809903,9,0,0.9897278155240793,20,0.42098064449227546,FAIL
88,88,,2021-02-08 21:09:27.106272,2021-02-08 21:09:27.764334,0 days 00:00:00.658062,0.007036251522000921,9,0,0.9882885052879589,20,0.35704371296671145,FAIL
89,89,,2021-02-08 21:09:27.764730,2021-02-08 21:09:28.414228,0 days 00:00:00.649498,0.0038770993107351084,9,0,0.9882709853584491,16,0.4372732964267475,FAIL
90,90,,2021-02-08 21:09:28.414624,2021-02-08 21:09:29.050889,0 days 00:00:00.636265,0.007581392823072881,9,0,0.9850772153709331,20,0.42057834944385886,FAIL
91,91,0.5235023041474655,2021-02-08 21:09:29.051472,2021-02-08 21:09:49.960118,0 days 00:00:20.908646,0.005914916310436696,9,6,0.9828659313500829,20,0.49404812859304237,COMPLETE
92,92,0.584331797235023,2021-02-08 21:09:49.960590,2021-02-08 21:10:01.202648,0 days 00:00:11.242058,0.005857871318595787,7,6,0.9592852663161934,16,0.025359477950224616,COMPLETE
93,93,,2021-02-08 21:10:01.203139,2021-02-08 21:10:01.867168,0 days 00:00:00.664029,0.00835242302633527,9,0,0.9196677416415298,16,0.08706024628862204,FAIL
94,94,,2021-02-08 21:10:01.867606,2021-02-08 21:10:02.521833,0 days 00:00:00.654227,0.006029835762612534,9,0,0.9213296992447887,16,0.07437505984548068,FAIL
95,95,,2021-02-08 21:10:02.522432,2021-02-08 21:10:03.165364,0 days 00:00:00.642932,0.006089708662232086,9,0,0.925334538148674,16,0.06949853863655456,FAIL
96,96,,2021-02-08 21:10:03.165776,2021-02-08 21:10:03.907391,0 days 00:00:00.741615,0.005734580854411309,9,0,0.9240170747356987,16,0.07992295183854553,FAIL
97,97,,2021-02-08 21:10:03.907978,2021-02-08 21:10:04.560615,0 days 00:00:00.652637,0.008199532116181497,9,0,0.925219247930638,16,0.0714667993000597,FAIL
98,98,,2021-02-08 21:10:04.561210,2021-02-08 21:10:05.262267,0 days 00:00:00.701057,0.006090903468843025,9,0,0.9225813749127041,16,0.07633237691669577,FAIL
99,99,,2021-02-08 21:10:05.262685,2021-02-08 21:10:05.911386,0 days 00:00:00.648701,0.005983682824980922,9,0,0.9282817716875118,16,0.0943836806343975,FAIL
100,100,,2021-02-08 21:10:05.911784,2021-02-08 21:10:06.561296,0 days 00:00:00.649512,0.008563798312769053,9,0,0.9255971508238663,16,0.08050312550471131,FAIL
101,101,,2021-02-08 21:10:06.561871,2021-02-08 21:10:07.219665,0 days 00:00:00.657794,0.008040102612643187,9,0,0.9266688289709435,16,0.09320684480029803,FAIL
102,102,,2021-02-08 21:10:07.220263,2021-02-08 21:10:07.871561,0 days 00:00:00.651298,0.009276313380548533,9,0,0.9240160743750108,16,0.08561437417487955,FAIL
103,103,,2021-02-08 21:10:07.872152,2021-02-08 21:10:08.534776,0 days 00:00:00.662624,0.008961174492224234,9,0,0.9186607564429676,16,0.08206761699462341,FAIL
104,104,,2021-02-08 21:10:08.535165,2021-02-08 21:10:09.306929,0 days 00:00:00.771764,0.006708729520004562,9,0,0.9251494808470352,16,0.07407248009144045,FAIL
105,105,0.423963133640553,2021-02-08 21:10:09.307342,2021-02-08 21:10:20.058282,0 days 00:00:10.750940,0.007229300896186464,9,8,0.9289770439848384,16,0.07606295590709267,COMPLETE
106,106,,2021-02-08 21:10:20.058776,2021-02-08 21:10:20.701279,0 days 00:00:00.642503,0.021614343233646895,7,0,0.9581460052989351,14,0.41038856310562943,FAIL
107,107,,2021-02-08 21:10:20.701858,2021-02-08 21:10:21.391679,0 days 00:00:00.689821,0.0214053219457116,7,0,0.9552694002955557,14,0.4167379064424841,FAIL
108,108,,2021-02-08 21:10:21.392277,2021-02-08 21:10:22.111166,0 days 00:00:00.718889,0.015306549727555196,7,0,0.9552579880841644,14,0.37020026357951114,FAIL
109,109,,2021-02-08 21:10:22.111773,2021-02-08 21:10:22.767772,0 days 00:00:00.655999,0.022182839831261326,7,0,0.954964853738001,14,0.4424794806496238,FAIL
110,110,,2021-02-08 21:10:22.768175,2021-02-08 21:10:23.513608,0 days 00:00:00.745433,0.03112499070604751,7,0,0.9541087038810151,14,0.4167582011877883,FAIL
111,111,,2021-02-08 21:10:23.513983,2021-02-08 21:10:24.137030,0 days 00:00:00.623047,0.025815998159802542,7,0,0.9547356854967519,14,0.08410590722382809,FAIL
112,112,,2021-02-08 21:10:24.137419,2021-02-08 21:10:24.781281,0 days 00:00:00.643862,0.020352971514348582,7,0,0.955164600245184,14,0.4596787230796827,FAIL
113,113,,2021-02-08 21:10:24.781687,2021-02-08 21:10:25.417251,0 days 00:00:00.635564,0.021504898235173094,7,0,0.9570707534431363,14,0.48262581217959627,FAIL
114,114,,2021-02-08 21:10:25.417829,2021-02-08 21:10:26.055804,0 days 00:00:00.637975,0.02144964244108472,7,0,0.9607243567800057,14,0.3858042353039298,FAIL
115,115,,2021-02-08 21:10:26.056389,2021-02-08 21:10:26.714245,0 days 00:00:00.657856,0.01391998150028288,7,0,0.9576985838147296,14,0.47387432390805817,FAIL
116,116,,2021-02-08 21:10:26.714857,2021-02-08 21:10:27.385970,0 days 00:00:00.671113,0.019285803221183905,7,0,0.9553921903970121,14,0.08150377946664983,FAIL
