,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
71,71,0.44285714285714284,2021-02-14 00:53:15.804301,2021-02-14 00:53:27.680665,0 days 00:00:11.876364,0.011080379566235143,45,7.435949751538536e-05,0.44285714285714284,,,PRUNED
72,72,0.47588325652841784,2021-02-14 00:53:27.680829,2021-02-14 00:53:59.223530,0 days 00:00:31.542701,0.0009181564915037792,50,2.8110526942116216e-05,0.47588325652841784,,,PRUNED
73,73,0.4881720430107527,2021-02-14 00:53:59.223718,2021-02-14 00:54:11.068997,0 days 00:00:11.845279,0.003559855525189374,25,7.26675038991036e-06,0.4881720430107527,,,PRUNED
74,74,0.4485407066052227,2021-02-14 00:54:11.069173,2021-02-14 00:54:42.741985,0 days 00:00:31.672812,1.0070364479255467e-05,5,3.52712107997292e-06,0.4485407066052227,,,PRUNED
75,75,0.4737327188940092,2021-02-14 00:54:42.742174,2021-02-14 00:54:54.680478,0 days 00:00:11.938304,0.0016270664490569131,15,1.4514531506678856e-05,0.4737327188940092,,,PRUNED
76,76,0.5,2021-02-14 00:54:54.680666,2021-02-14 00:55:06.553860,0 days 00:00:11.873194,0.013708952035025155,30,2.638151560683294e-06,0.5,,,PRUNED
77,77,0.5311827956989247,2021-02-14 00:55:06.554060,2021-02-14 00:55:38.106312,0 days 00:00:31.552252,0.004584572008019466,10,2.1562967475660076e-05,0.5672811059907834,0.5311827956989247,,PRUNED
78,78,0.4894009216589862,2021-02-14 00:55:38.106474,2021-02-14 00:55:50.033564,0 days 00:00:11.927090,0.0008975425074877348,5,8.31512243916018e-07,0.4894009216589862,,,PRUNED
79,79,0.4804915514592934,2021-02-14 00:55:50.033740,2021-02-14 00:56:21.616933,0 days 00:00:31.583193,0.00011721485348637204,35,5.995880440885208e-06,0.5124423963133641,0.4804915514592934,,PRUNED
80,80,0.522273425499232,2021-02-14 00:56:21.617123,2021-02-14 00:57:52.464688,0 days 00:01:30.847565,0.005722568480772308,10,3.185686100787203e-06,0.5397849462365591,0.5529953917050692,0.522273425499232,PRUNED
81,81,0.5004608294930876,2021-02-14 00:57:52.464852,2021-02-14 00:58:04.394722,0 days 00:00:11.929870,0.003019306346790617,5,4.1432306048850887e-05,0.5004608294930876,,,PRUNED
82,82,0.5397849462365591,2021-02-14 00:58:04.394888,2021-02-14 01:02:01.044608,0 days 00:03:56.649720,0.00021913663443292708,40,1.041278028603503e-05,0.5634408602150538,0.6337941628264209,,COMPLETE
83,83,0.4749615975422427,2021-02-14 01:02:01.045191,2021-02-14 01:02:14.462434,0 days 00:00:13.417243,0.0012880422986244779,20,1.640324912145689e-06,0.4749615975422427,,,PRUNED
84,84,0.3781874039938556,2021-02-14 01:02:14.462817,2021-02-14 01:02:32.460147,0 days 00:00:17.997330,0.0005183164950683584,15,2.8826842328558544e-07,0.3781874039938556,,,PRUNED
85,85,0.4596006144393241,2021-02-14 01:02:32.460347,2021-02-14 01:02:48.435289,0 days 00:00:15.974942,0.0007675155892368067,10,4.933623868769036e-07,0.4596006144393241,,,PRUNED
86,86,0.6276497695852534,2021-02-14 01:02:48.435490,2021-02-14 01:07:49.334347,0 days 00:05:00.898857,0.0015618075353236508,30,0.0006414786945842105,0.5526881720430108,,,COMPLETE
87,87,0.5717357910906298,2021-02-14 01:07:49.334951,2021-02-14 01:09:48.895739,0 days 00:01:59.560788,0.0014797827856854917,10,1.1058948308368243e-06,0.6288786482334869,0.5689708141321045,0.5717357910906298,PRUNED
88,88,0.4700460829493088,2021-02-14 01:09:48.895922,2021-02-14 01:11:44.429499,0 days 00:01:55.533577,0.00015330715497025745,25,5.88531251065405e-07,0.4700460829493088,,,PRUNED
89,89,0.5158218125960061,2021-02-14 01:11:44.429682,2021-02-14 01:12:22.962128,0 days 00:00:38.532446,0.0011289512534730839,25,1.3330648397690673e-07,0.5198156682027649,0.5158218125960061,,PRUNED
90,90,0.493394777265745,2021-02-14 01:12:22.962321,2021-02-14 01:13:05.401330,0 days 00:00:42.439009,0.00035150512541053667,15,6.102717376497395e-07,0.5517665130568357,0.493394777265745,,PRUNED
91,91,0.4559139784946237,2021-02-14 01:13:05.401510,2021-02-14 01:13:20.001534,0 days 00:00:14.600024,0.005383700695744892,5,1.0859180262384145e-05,0.4559139784946237,,,PRUNED
92,92,0.562826420890937,2021-02-14 01:13:20.001725,2021-02-14 01:15:15.664998,0 days 00:01:55.663273,0.003573990388024654,45,4.186027639891019e-05,0.6248847926267281,0.562826420890937,,PRUNED
93,93,0.42273425499231954,2021-02-14 01:15:15.665224,2021-02-14 01:15:31.598845,0 days 00:00:15.933621,0.002109081044664427,30,3.739617294307194e-06,0.42273425499231954,,,PRUNED
94,94,0.49523809523809526,2021-02-14 01:15:31.599061,2021-02-14 01:16:10.384776,0 days 00:00:38.785715,4.444508630873352e-05,35,0.00023138003195459584,0.49523809523809526,,,PRUNED
95,95,0.5348694316436252,2021-02-14 01:16:10.385043,2021-02-14 01:16:50.947994,0 days 00:00:40.562951,1.939822500770898e-05,35,1.2820494173130269e-05,0.5348694316436252,,,PRUNED
96,96,0.4682027649769585,2021-02-14 01:16:50.948197,2021-02-14 01:18:48.020643,0 days 00:01:57.072446,0.0014546290422986585,40,4.370197792800105e-06,0.4682027649769585,,,PRUNED
97,97,0.41259600614439323,2021-02-14 01:18:48.020825,2021-02-14 01:19:03.662394,0 days 00:00:15.641569,0.0006835995244756196,10,1.916421867236752e-06,0.41259600614439323,,,PRUNED
98,98,0.5327188940092166,2021-02-14 01:19:03.662570,2021-02-14 01:19:42.598158,0 days 00:00:38.935588,0.00028749594085468666,20,1.224118160073295e-06,0.5179723502304148,0.5327188940092166,,PRUNED
99,99,0.5500768049155146,2021-02-14 01:19:42.598396,2021-02-14 01:24:44.389394,0 days 00:05:01.790998,0.010817496105753123,5,0.0009799466635728921,0.5585253456221199,,,COMPLETE
100,100,0.49585253456221196,2021-02-14 01:24:44.390294,2021-02-14 01:24:57.858629,0 days 00:00:13.468335,0.001450331393487485,10,1.151245017697216e-06,0.49585253456221196,,,PRUNED
101,101,0.533026113671275,2021-02-14 01:24:57.858802,2021-02-14 01:25:39.033627,0 days 00:00:41.174825,0.002657230602892583,5,2.2295689468309224e-06,0.5548387096774193,0.533026113671275,,PRUNED
102,102,0.41935483870967744,2021-02-14 01:25:39.033844,2021-02-14 01:25:55.152007,0 days 00:00:16.118163,0.000962806624181036,10,8.319479024690359e-07,0.41935483870967744,,,PRUNED
103,103,0.517357910906298,2021-02-14 01:25:55.152200,2021-02-14 01:26:34.151398,0 days 00:00:38.999198,0.001455334889845608,10,7.079653662501301e-07,0.576036866359447,0.517357910906298,,PRUNED
104,104,0.5105990783410138,2021-02-14 01:26:34.151598,2021-02-14 01:31:38.098623,0 days 00:05:03.947025,0.002070770837858817,5,4.2739713485487246e-07,0.5772657450076805,0.5447004608294931,0.6073732718894009,COMPLETE
105,105,0.44915514592933947,2021-02-14 01:31:38.099779,2021-02-14 01:32:16.770690,0 days 00:00:38.670911,0.003965214815629366,5,4.104870860885097e-07,0.5583717357910907,0.44915514592933947,,PRUNED
106,106,0.4165898617511521,2021-02-14 01:32:16.770898,2021-02-14 01:32:33.486393,0 days 00:00:16.715495,0.0019199970290041818,5,1.7922156382966035e-07,0.4165898617511521,,,PRUNED
107,107,0.4344086021505376,2021-02-14 01:32:33.486588,2021-02-14 01:32:49.246326,0 days 00:00:15.759738,0.007025661828618629,5,3.080741565395434e-07,0.4344086021505376,,,PRUNED
108,108,0.4980030721966206,2021-02-14 01:32:49.246519,2021-02-14 01:33:27.595605,0 days 00:00:38.349086,1.2079717494639164e-05,35,1.6972046780120477e-05,0.4980030721966206,,,PRUNED
109,109,0.46543778801843316,2021-02-14 01:33:27.595808,2021-02-14 01:34:09.860611,0 days 00:00:42.264803,0.0002569330689365087,45,1.8487192158288415e-06,0.46543778801843316,,,PRUNED
110,110,0.4815668202764977,2021-02-14 01:34:09.860786,2021-02-14 01:34:49.871987,0 days 00:00:40.011201,4.572718245542338e-05,40,0.00013551004009815638,0.4815668202764977,,,PRUNED
111,111,0.5158218125960061,2021-02-14 01:34:49.872187,2021-02-14 01:39:52.362894,0 days 00:05:02.490707,0.0014783128778095955,5,0.0008210473242132031,0.5960061443932412,,,COMPLETE
112,112,0.48878648233486943,2021-02-14 01:39:52.363803,2021-02-14 01:40:05.479667,0 days 00:00:13.115864,0.003160631908892323,15,2.1892796887453246e-07,0.48878648233486943,,,PRUNED
113,113,0.480184331797235,2021-02-14 01:40:05.479852,2021-02-14 01:40:46.940706,0 days 00:00:41.460854,0.00011085706636560327,35,4.367670263782941e-05,0.480184331797235,,,PRUNED
114,114,0.6202764976958526,2021-02-14 01:40:46.940902,2021-02-14 01:45:49.310548,0 days 00:05:02.369646,0.0006031118291750373,50,0.0006994397604825733,0.5901689708141321,,,COMPLETE
115,115,0.4924731182795699,2021-02-14 01:45:49.311152,2021-02-14 01:46:30.471648,0 days 00:00:41.160496,0.0024202039696614172,10,4.1218161687374365e-06,0.5379416282642089,0.4924731182795699,,PRUNED
116,116,0.5142857142857142,2021-02-14 01:46:30.471842,2021-02-14 01:46:46.188047,0 days 00:00:15.716205,0.0016157519631104346,10,1.3541864099572902e-06,0.5142857142857142,,,PRUNED
117,117,0.533026113671275,2021-02-14 01:46:46.188243,2021-02-14 01:47:25.124442,0 days 00:00:38.936199,0.0005921151955750903,5,4.4893655627735024e-07,0.5880184331797235,0.533026113671275,,PRUNED
118,118,0.49953917050691243,2021-02-14 01:47:25.124744,2021-02-14 01:48:06.270428,0 days 00:00:41.145684,0.0018860885496634196,50,8.251828465337734e-06,0.49953917050691243,,,PRUNED
119,119,0.5053763440860215,2021-02-14 01:48:06.270647,2021-02-14 01:48:46.457836,0 days 00:00:40.187189,0.00029332243236744485,25,2.152716374277881e-05,0.5053763440860215,,,PRUNED
120,120,0.4946236559139785,2021-02-14 01:48:46.458042,2021-02-14 01:49:25.771952,0 days 00:00:39.313910,0.00786239063947821,45,2.198255299820378e-06,0.4946236559139785,,,PRUNED
121,121,0.4737327188940092,2021-02-14 01:49:25.772168,2021-02-14 01:49:40.952370,0 days 00:00:15.180202,0.001184769445553097,15,5.969201700660496e-07,0.4737327188940092,,,PRUNED
122,122,0.5185867895545315,2021-02-14 01:49:40.952585,2021-02-14 01:51:38.182336,0 days 00:01:57.229751,0.00012862016853898756,50,7.680286808970642e-05,0.5185867895545315,,,PRUNED
123,123,0.5112135176651306,2021-02-14 01:51:38.182520,2021-02-14 01:53:35.351177,0 days 00:01:57.168657,0.0006484006196225094,50,0.0003668918188899448,0.5112135176651306,,,PRUNED
124,124,0.4488479262672811,2021-02-14 01:53:35.351378,2021-02-14 01:53:50.560006,0 days 00:00:15.208628,0.0010103413056664805,10,6.377882719936317e-06,0.4488479262672811,,,PRUNED
125,125,0.48325652841781874,2021-02-14 01:53:50.560192,2021-02-14 01:55:46.262955,0 days 00:01:55.702763,0.0002216938965737439,40,0.00046492602097836667,0.48325652841781874,,,PRUNED
126,126,0.5035330261136712,2021-02-14 01:55:46.263222,2021-02-14 01:56:24.944366,0 days 00:00:38.681144,0.0004278185130019892,5,1.9592947484243373e-06,0.5554531490015361,0.5035330261136712,,PRUNED
127,127,0.4771121351766513,2021-02-14 01:56:24.944572,2021-02-14 01:56:41.149771,0 days 00:00:16.205199,1.036202634769717e-05,15,1.0812137655787996e-06,0.4771121351766513,,,PRUNED
128,128,0.461136712749616,2021-02-14 01:56:41.149984,2021-02-14 01:57:22.336604,0 days 00:00:41.186620,1.9591802867745288e-05,10,7.524479202170065e-07,0.461136712749616,,,PRUNED
129,129,0.4771121351766513,2021-02-14 01:57:22.336803,2021-02-14 01:57:35.545510,0 days 00:00:13.208707,0.004601799641125183,10,1.0158194523446404e-05,0.4771121351766513,,,PRUNED
130,130,0.5302611367127497,2021-02-14 01:57:35.545717,2021-02-14 01:59:33.493022,0 days 00:01:57.947305,0.0008460176382729098,30,4.2259210230627845e-05,0.6086021505376344,0.5302611367127497,,PRUNED
131,131,0.5109062980030722,2021-02-14 01:59:33.493373,2021-02-14 01:59:46.772875,0 days 00:00:13.279502,0.000748610638076251,5,2.3983647265352447e-06,0.5109062980030722,,,PRUNED
132,132,0.5059907834101383,2021-02-14 01:59:46.773075,2021-02-14 02:01:38.079376,0 days 00:01:51.306301,0.0009242509238887123,25,0.0009222218610760868,0.5059907834101383,,,PRUNED
133,133,0.5265745007680491,2021-02-14 02:01:38.079568,2021-02-14 02:02:20.771012,0 days 00:00:42.691444,0.0017676537886666495,10,3.207442526715593e-06,0.6076804915514593,0.5265745007680491,,PRUNED
