,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,state
1536,1536,0.6958343603648016,2021-02-22 05:31:04.674326,2021-02-22 05:31:15.798500,0 days 00:00:11.124174,0.00010634993721521916,50,0.9983128396177849,5.4558157431158705,0.6958343603648016,PRUNED
1537,1537,0.7044614246980527,2021-02-22 05:31:15.799260,2021-02-22 05:31:27.085954,0 days 00:00:11.286694,0.0002455602918947462,30,0.994249457661143,1.273623468172242,0.7044614246980527,PRUNED
1538,1538,0.7029824993837811,2021-02-22 05:31:27.086689,2021-02-22 05:31:38.307316,0 days 00:00:11.220627,0.0001400897799775313,80,0.9941230671358525,4.27893112192952,0.7029824993837811,PRUNED
1539,1539,0.7000246487552378,2021-02-22 05:31:38.308039,2021-02-22 05:31:49.539056,0 days 00:00:11.231017,0.0003399077080510581,80,0.9958232229092852,6.941929977504482,0.7000246487552378,PRUNED
1540,1540,0.7064333251170816,2021-02-22 05:31:49.539804,2021-02-22 05:32:00.747140,0 days 00:00:11.207336,0.00020618710199545536,70,0.9937291034431237,6.222072675158913,0.7064333251170816,PRUNED
1541,1541,0.7227247960651721,2021-02-22 05:32:00.747854,2021-02-22 05:33:25.750031,0 days 00:01:25.002177,0.00027060261839986977,20,0.9943861015367876,2.2740839975882716,0.7079122504313532,COMPLETE
1542,1542,0.7066798126694602,2021-02-22 05:33:25.751288,2021-02-22 05:33:36.978491,0 days 00:00:11.227203,0.0001717280372931975,30,0.9981605958359498,7.22380344651269,0.7066798126694602,PRUNED
1543,1543,0.6992851860981021,2021-02-22 05:33:36.979221,2021-02-22 05:33:48.215891,0 days 00:00:11.236670,0.0003583877823216859,80,0.9979337388132599,7.8913195306442105,0.6992851860981021,PRUNED
1544,1544,0.7007641114123737,2021-02-22 05:33:48.216622,2021-02-22 05:33:59.541494,0 days 00:00:11.324872,0.00030263157422879807,50,0.9949354885863567,5.581231303723082,0.7007641114123737,PRUNED
1545,1545,0.7284087027899753,2021-02-22 05:33:59.542240,2021-02-22 05:35:24.595536,0 days 00:01:25.053296,0.000255236697497979,30,0.9963912160819444,6.684456637203787,0.7162928272122258,COMPLETE
1546,1546,0.7024895242790239,2021-02-22 05:35:24.596509,2021-02-22 05:35:35.810112,0 days 00:00:11.213603,0.0004376519853218157,90,0.9939169481265764,3.1631123071172924,0.7024895242790239,PRUNED
1547,1547,0.6992851860981021,2021-02-22 05:35:35.810843,2021-02-22 05:35:47.056510,0 days 00:00:11.245667,0.0001193261952877761,60,0.9945011452503268,3.8126393909535135,0.6992851860981021,PRUNED
1548,1548,0.703721962040917,2021-02-22 05:35:47.057227,2021-02-22 05:35:58.288097,0 days 00:00:11.230870,0.00035895170329829144,70,0.9985511145431349,4.993830371906826,0.703721962040917,PRUNED
1549,1549,0.7029824993837811,2021-02-22 05:35:58.288829,2021-02-22 05:36:09.615452,0 days 00:00:11.326623,0.00030218589214193206,80,0.994103361453495,1.986002965626329,0.7029824993837811,PRUNED
1550,1550,0.7318984726874009,2021-02-22 05:36:09.616219,2021-02-22 05:37:34.776298,0 days 00:01:25.160079,0.00042283789983304045,30,0.9935542798555319,8.078570750746358,0.7081587379837319,COMPLETE
1551,1551,0.7064333251170816,2021-02-22 05:37:34.777257,2021-02-22 05:37:46.146438,0 days 00:00:11.369181,0.00015208342840161368,10,0.9978923586356688,0.46588949060693247,0.7064333251170816,PRUNED
1552,1552,0.7024895242790239,2021-02-22 05:37:46.147211,2021-02-22 05:37:57.464793,0 days 00:00:11.317582,0.0002618722701025471,40,0.9965507943729872,6.314261354306438,0.7024895242790239,PRUNED
1553,1553,0.7044614246980527,2021-02-22 05:37:57.465551,2021-02-22 05:38:08.739711,0 days 00:00:11.274160,0.00021207372237027556,50,0.9943130566322946,4.223591143098792,0.7044614246980527,PRUNED
1554,1554,0.7262616167528355,2021-02-22 05:38:08.740482,2021-02-22 05:39:34.097486,0 days 00:01:25.357004,0.0003227319378105523,80,0.9927898375375181,7.610773925879482,0.707419275326596,COMPLETE
1555,1555,0.6997781612028593,2021-02-22 05:39:34.098458,2021-02-22 05:39:45.277882,0 days 00:00:11.179424,0.0004065382851870987,40,0.9981504457147263,2.5089768829944044,0.6997781612028593,PRUNED
1556,1556,0.7338338406805344,2021-02-22 05:39:45.278610,2021-02-22 05:41:10.406574,0 days 00:01:25.127964,0.00036736668885721974,80,0.9952745046992021,5.918264270072535,0.713088489031304,COMPLETE
1557,1557,0.728449457119699,2021-02-22 05:41:10.407833,2021-02-22 05:42:35.720912,0 days 00:01:25.313079,0.00030256725041821926,80,0.9959587047291397,5.989982612083281,0.7079122504313532,COMPLETE
